"ID","time","X","Y","Habitat","dist_water","dist_swamp","dist_otw","dist_openfor","dist_ntw","dist_devel","dist_ddf","dist_conifer"
"elk-115",1,769.928,4992.847,13,-0.725068464633265,1.06210157323845,0.321200784631697,-0.395618909248093,0.0625017287993493,0.971756731080696,-0.851320555470667,-0.362017260728513
"elk-115",2,766.875,4997.444,13,-0.218824963923334,1.36071073901807,1.06305088235691,-0.706074839329586,0.7695507119855,0.320263966148784,-0.851320555470667,-0.544591482702097
"elk-115",3,765.949,4998.516,13,-0.267753072163825,1.43389862289614,1.01035825334269,-0.749402545399382,0.977581449708398,0.0741378029451361,-0.851320555470667,0.317390543236094
"elk-115",4,765.938,4998.2765,13,-0.282680505858483,1.42154094969497,0.768528339785998,-0.736791219420536,0.927331888868843,0.111622095328084,-0.851320555470667,-0.05126320644341
"elk-115",5,766.275,4998.005,17,-0.596042856542608,1.40080660640607,0.76928676693425,-0.726740585582917,0.873993807597407,0.18235133094816,-0.729144511742892,-0.628743680602503
"elk-115",6,766.368,4998.051,16,-0.707878532520873,1.40275052297981,0.877272346613836,-0.72078440903709,0.88803657675531,0.17851061532013,-0.729144511742892,-0.849130455901499
"elk-115",7,777.208,4991.996,16,-0.255909714524626,0.958353365402135,-0.229585864365009,-0.760218405478429,0.469526504535462,1.62255598290631,-0.578118310998899,0.764180292325044
"elk-115",8,776.684,4992.027,19,-0.357039601900541,0.962273405451429,-0.86435327187284,-0.744587914147043,0.534123242661819,1.61161449397736,-0.578118310998899,-0.121742225955271
"elk-115",9,776.991,4991.9915,13,-0.143024947101267,0.959568025699099,-0.500813858811061,-0.75586953530637,0.495276765891625,1.61617056564417,-0.851320555470667,0.405246929463578
"elk-115",10,776.682,4992.006,19,-0.326426355153326,0.960835597334757,-0.850942353727571,-0.743516597409045,0.529143836699341,1.60719130014982,-0.578118310998899,-0.0629972795332155
